"","mean","total","tech","bio","p.value","FDR"
"Hbb-bt",6.65700907303013,4.07347929348033,0.826147907714503,3.24733138576583,2.05318763247113e-26,1.05677567443289e-22
"Car2",3.9352015300627,3.76264203835067,0.567458152166483,3.19518388618419,4.31588339673512e-52,8.88554073719827e-48
"Tmcc2",3.0982220252725,3.65792971389545,0.641987523346749,3.0159421905487,6.95746533234107e-37,7.16201481311189e-33
"Alas2",3.79150285034147,3.12833676962172,0.569158383486046,2.55917838613567,5.87215476938732e-34,4.02986407973821e-30
"Ighg2c",2.56509331512252,3.19679250326994,0.695163299187986,2.50162920408196,1.88808828380147e-22,7.77439231738092e-19
"Slc4a1",2.62567570186311,2.74167092100269,0.686118480245257,2.05555244075743,3.93272562816924e-16,1.34944925387914e-12
"Hba-a2",8.04023872658767,3.80199608024974,1.75710127602326,2.04489480422648,0.000875433077148268,0.29070026116659
"Cr2",2.26516661713274,2.68079211374932,0.735584814877818,1.9452072988715,5.75526971108175e-13,1.18489492811751e-09
"Hmbs",2.81368338221173,2.56806951782039,0.662098300098059,1.90597121772233,4.93076019039838e-15,1.45020701142745e-11
"DEPRECATED_ENSMUSG00000076613",1.98774808099806,2.61663933478548,0.759329070014513,1.85731026477096,2.39250441005131e-11,4.10474006617803e-08
"Cd19",3.27881966318094,2.34086654142437,0.630620004257167,1.7102465371672,1.51760594011225e-13,3.90555888687887e-10
"Ighg3",1.89593513236466,2.46848412418052,0.763672968576388,1.70481115560413,9.68081039750045e-10,1.17240308508082e-06
"Dmtn",2.1231234654261,2.43993280476449,0.749468881773149,1.69046392299134,6.58259919437075e-10,8.47015951335656e-07
"Ermap",2.29378561078899,2.41745936900181,0.73241308133545,1.68504628766636,3.07141194089916e-10,4.51673064565942e-07
"Ighj1",3.2866039077929,2.29600315630969,0.629918698707431,1.66608445760226,5.7013076040804e-13,1.18489492811751e-09
"Ighg2b",1.68825623990347,2.42114838706127,0.76474411406216,1.65640427299911,2.86502159609098e-09,3.10447708528006e-06
"Aqp1",2.34415485097829,2.24131546071921,0.726203552601519,1.51511190811769,1.00949638445068e-08,9.89691026812884e-06
"Trim10",2.06350983916249,2.26081026862725,0.754198951324872,1.50661131730238,3.8976442994647e-08,3.64748640169905e-05
"Slc25a37",3.59638578749646,2.08908673097632,0.586527231020275,1.50255949995605,2.81175444234352e-12,5.26258185990621e-09
"H2-DMb2",2.82009078436125,2.16107882075102,0.661308214009132,1.49977060674189,5.35213355122635e-10,7.34598170350987e-07
"Cd37",3.20055310672679,2.05438711135425,0.636808783831521,1.41757832752273,1.0747617973964e-09,1.22928866026651e-06
"Ms4a1",2.06541158611376,2.16104640006813,0.754061042874996,1.40698535719313,2.61732580359917e-07,0.000185812081532757
"Ank1",2.10853766760935,2.15455147916345,0.750661534760812,1.40388994440264,2.46342008255927e-07,0.000181131759499036
"Ighd",3.48439236487894,2.0033808517024,0.606479255035218,1.39690159666718,2.93719398927298e-10,4.51673064565942e-07
"Ighj4",3.1810748279832,2.01635112071233,0.638104471287772,1.37824664942456,3.15779655337068e-09,3.25063577203978e-06
"Jchain",1.77348373113368,2.13766958940993,0.765949995590353,1.37171959381958,7.33002611497031e-07,0.000486808315016157
"Abcb10",2.51621595175003,2.07145453435424,0.702249484214131,1.36920505014011,7.89826749240214e-08,7.06997961450327e-05
"Spta1",1.87254626126517,2.08578516628721,0.764367484718285,1.32141768156893,1.66919501729729e-06,0.00107391834425364
"Bpgm",2.54452264383512,2.01823326091072,0.698185627683175,1.32004763322755,1.84578965470951e-07,0.000146158143889075
"Ypel4",1.69342262473286,2.0218344233927,0.764929568358858,1.25690485503384,4.96685612668933e-06,0.00300757746871411
"Cd79b",2.61001748408808,1.94018524176909,0.68847737950832,1.25170786226077,5.0680222583012e-07,0.000347801474179683
"H2-Ob",3.03779113762901,1.87193216960126,0.645427027788065,1.22650514181319,1.61017534673467e-07,0.000132601160154294
"Cd79a",3.3441425739378,1.83793417982455,0.62483184600482,1.21310233381973,8.90639645633255e-08,7.64020376012394e-05
"Slpi",2.02628779333786,1.96048621362844,0.756814253327536,1.20367196030091,9.47796174296369e-06,0.00538908307316243
"Kel",1.69558877427379,1.94855377603619,0.764992614444855,1.18356116159133,1.58823902088728e-05,0.00858348842670136
"Mkrn1",3.34093656330506,1.8054227288038,0.625207719528837,1.18021500927496,1.92494424899159e-07,0.000146780563697181
"Prdx2",2.68277052666117,1.77926066200868,0.677843133021421,1.10141752898726,6.22774809428349e-06,0.00366333936471739
"Snca",1.89940721286456,1.86179811089052,0.763549420178155,1.09824869071236,5.49020644058298e-05,0.0282580925496806
"Igkc",5.58550461040242,1.95513819533271,0.866021477853397,1.08911671747931,0.000360035363510712,0.137266815999232
"Fech",1.82676834487105,1.85176328605157,0.765394252555654,1.08636903349592,6.76025608108519e-05,0.0339463785847273
"Cd52",3.34195121278037,1.69933019017829,0.625088769505819,1.07424142067248,1.90662833744397e-06,0.00118950497609989
"Tfrc",2.71350267684885,1.71470964988647,0.673714358271259,1.04099529161521,1.62597653313266e-05,0.00858348842670136
"Ctse",1.75873699462808,1.80535176353682,0.76590804870862,1.0394437148282,0.000131393585849363,0.0592931432655027
"Ube2l6",2.0138261132891,1.78538755117327,0.757691148589031,1.02769640258424,0.000132479337002775,0.0592931432655027
"Cdr2",2.01459299217656,1.78200333437185,0.757637710861499,1.02436562351035,0.000138567422397027,0.0606984274959573
"Pax5",2.02771589396707,1.76594701271415,0.756712607303779,1.00923440541037,0.000167599099091899,0.0718860469188338
"Cd72",1.76661267829414,1.7683749743741,0.765935114563876,1.00243985981022,0.000216245112446586,0.0872951838245158
"Apol11b",1.51535353948927,1.73579993843568,0.754453867298514,0.981346071137169,0.00023456085866588,0.0928680568887142
"Iglc3",2.39957522494092,1.67424899339812,0.718789769738604,0.955459223659513,0.000175449943666902,0.0737176212288607
"Cd22",1.71638953471643,1.70431325080342,0.765533070990975,0.938780179812449,0.000487484761730376,0.17922029061616
"Sptb",1.58902481787814,1.69837220918125,0.760098731741987,0.938273477439265,0.000450997684957625,0.168820733416501
"Ighm",4.04552590837616,1.49175246088963,0.576265551568403,0.915486909321232,9.68506283791577e-06,0.00538908307316243
"Coro1a",2.86493388921128,1.56360019349734,0.656129431194174,0.907470762303169,9.99326896802904e-05,0.0489860527413766
"Pou2af1",1.9776892326492,1.63810154108948,0.759874681834541,0.878226859254935,0.000942050944042923,0.303046013061808
"Bank1",2.41652066366886,1.59176396121334,0.716480561033073,0.875283400180266,0.000509723665405293,0.184108610936213
"Hvcn1",2.17362639006488,1.60870718374157,0.744892946558167,0.863814237183399,0.000909189868142207,0.29711747627479
"Rab3il1",1.81917489767429,1.62376868831727,0.765558560003189,0.858210128314079,0.00128687546849892,0.400990530419498
"Glrx5",2.87402892081379,1.49630514236181,0.655527838470817,0.840777303890993,0.00028132102992059,0.109279950264247
"Ccr6",1.57414208856308,1.59957378862162,0.759172649716978,0.840401138904638,0.00145632858077525,0.440924894426482
"Mki67",3.47292653537612,1.44283273740522,0.608469999471038,0.834362737934181,0.000113277322081599,0.0542361280701388
"Mzb1",1.89698304947044,1.58403024607615,0.763635861884046,0.820394384192108,0.00193260435115027,0.568406548306881
"Alad",2.00614829173957,1.57726770736439,0.758186358106761,0.819081349257624,0.00183588182480983,0.547784565350503
"H2-Aa",2.75042656388821,1.46487665970863,0.669069069775518,0.795807589933111,0.000690800088588713,0.233150692194499
"Ltb",2.23719638459986,1.53084573037423,0.738622299482142,0.792223430892091,0.00196185115459161,0.568881571418761
"Hist1h1b",3.77438374183906,1.34653720186216,0.569906823526941,0.776630378335219,0.000123908526885258,0.0579779261707659
"Iglc1",1.82587209385115,1.54081328649221,0.765414122608453,0.775399163883762,0.00322319671273164,0.645131470210005
"Xpo7",1.91007053853234,1.53763913479406,0.763159265307291,0.77447986948677,0.00317656153779669,0.645131470210005
"Tnfrsf13c",1.47922475227988,1.51561286769362,0.75098490980705,0.764627957886565,0.00309127483655987,0.645131470210005
"Tfdp2",1.56827256046239,1.51094223481739,0.758743830678555,0.752198404138838,0.00383925094508437,0.645131470210005
"Hist1h2af",3.0201277046152,1.38754398570584,0.646093733866814,0.741450251839028,0.00101445538690632,0.321317038548112
"Tspan33",1.5137006312462,1.4956125955422,0.754314558889598,0.741298036652601,0.00411259038314127,0.645131470210005
"Gypa",1.32894212731769,1.46243014481993,0.731118538562274,0.731311606257653,0.0035747742290994,0.645131470210005
"Fam117a",2.43917371139748,1.44322712823256,0.713401549988778,0.72982557824378,0.00297072326518893,0.645131470210005
"Blk",1.63684381117645,1.4861182864766,0.762660762928218,0.723457523548384,0.00537288732544375,0.645131470210005
"Hemgn",1.28611783022286,1.43804306388182,0.723790110440552,0.714252953441266,0.00398127515671697,0.645131470210005
"Metap2",3.55145999495346,1.30754109228939,0.594900150819841,0.71264094146955,0.000638046507183456,0.223375857037319
"Pigq",2.37515857683993,1.43224622621357,0.722133363415847,0.710112862797724,0.00409270239670217,0.645131470210005
