cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
B cell,GO:1903039,positive regulation of leukocyte cell-cell adhesion,15/207,303/28891,5.935450214506083e-9,1.4305242957095073e-5,1.154859196331545e-5,Lck/Icosl/Xbp1/Cd5/Zap70/Actb/Thy1/Cd3e/Rara/Cd160/Selenok/Rasal3/Skap1/Il4i1/Il4i1b,15
B cell,GO:0051251,positive regulation of lymphocyte activation,16/207,367/28891,1.1049459061069923e-8,1.4305242957095073e-5,1.154859196331545e-5,Lck/Icosl/Cd40/Xbp1/Cd5/Zap70/Actb/Thy1/Cd3e/Rara/Cd160/Clcf1/Selenok/Rasal3/Il4i1/Il4i1b,16
B cell,GO:0050870,positive regulation of T cell activation,14/207,277/28891,1.4906470604822932e-8,1.4305242957095073e-5,1.154859196331545e-5,Lck/Icosl/Xbp1/Cd5/Zap70/Actb/Thy1/Cd3e/Rara/Cd160/Selenok/Rasal3/Il4i1/Il4i1b,14
B cell,GO:0140236,translation at presynapse,7/207,47/28891,4.3191987681938907e-8,2.0671507839256405e-5,1.6688063950961822e-5,Rpl13/Rpl10/Rpl22/Rps12/Rpl35/Rps28/Uba52,7
B cell,GO:0022409,positive regulation of cell-cell adhesion,15/207,354/28891,4.682777398125418e-8,2.0671507839256405e-5,1.6688063950961822e-5,Lck/Icosl/Xbp1/Cd5/Zap70/Actb/Thy1/Cd3e/Rara/Cd160/Selenok/Rasal3/Skap1/Il4i1/Il4i1b,15
B cell,GO:0140241,translation at synapse,7/207,48/28891,5.026069985230803e-8,2.0671507839256405e-5,1.6688063950961822e-5,Rpl13/Rpl10/Rpl22/Rps12/Rpl35/Rps28/Uba52,7
B cell,GO:0140242,translation at postsynapse,7/207,48/28891,5.026069985230803e-8,2.0671507839256405e-5,1.6688063950961822e-5,Rpl13/Rpl10/Rpl22/Rps12/Rpl35/Rps28/Uba52,7
B cell,GO:0050852,T cell receptor signaling pathway,10/207,143/28891,8.951819147448945e-8,2.7109628168317527e-5,2.188554468680467e-5,Lck/Icosl/Cd247/Zap70/Lat/Thy1/Cd3e/Cd160/Cd8a/Skap1,10
B cell,GO:0030098,lymphocyte differentiation,17/207,486/28891,9.398119807271798e-8,2.7109628168317527e-5,2.188554468680467e-5,Lck/Cd3g/Polm/Xbp1/Satb1/Zap70/Cr2/Rpl22/Actb/Cd3e/Eomes/Rara/Clcf1/Cd8a/Il4i1/Il4i1b/Gimap1,17
B cell,GO:0050851,antigen receptor-mediated signaling pathway,11/207,184/28891,1.0043982447132941e-7,2.7109628168317527e-5,2.188554468680467e-5,Lck/Icosl/Cd247/Zap70/Lat/Thy1/Cd3e/Cd160/Prkcb/Cd8a/Skap1,11
B cell,GO:0002696,positive regulation of leukocyte activation,16/207,432/28891,1.0508919473501259e-7,2.7109628168317527e-5,2.188554468680467e-5,Lck/Icosl/Cd40/Xbp1/Cd5/Zap70/Actb/Thy1/Cd3e/Rara/Cd160/Clcf1/Selenok/Rasal3/Il4i1/Il4i1b,16
B cell,GO:0042775,mitochondrial ATP synthesis coupled electron transport,8/207,80/28891,1.1299601876339366e-7,2.7109628168317527e-5,2.188554468680467e-5,Cdk1/Ndufa12/Uqcrb/Ndufv3/Snca/Ndufa8/Ndufc2/COX1,8
B cell,GO:0042773,ATP synthesis coupled electron transport,8/207,82/28891,1.3724312560927798e-7,3.039407374070087e-5,2.4537070554274153e-5,Cdk1/Ndufa12/Uqcrb/Ndufv3/Snca/Ndufa8/Ndufc2/COX1,8
B cell,GO:0007159,leukocyte cell-cell adhesion,16/207,447/28891,1.6675460948290995e-7,3.429189433580698e-5,2.768377276227558e-5,Lck/Icosl/Itgb7/Xbp1/Cd5/Zap70/Actb/Thy1/Cd3e/Rara/Cd160/Selenok/Rasal3/Skap1/Il4i1/Il4i1b,16
B cell,GO:0030217,T cell differentiation,14/207,339/28891,1.8189260069475705e-7,3.49112531600137e-5,2.8183779812913937e-5,Lck/Cd3g/Xbp1/Satb1/Zap70/Rpl22/Actb/Cd3e/Eomes/Rara/Cd8a/Il4i1/Il4i1b/Gimap1,14
B cell,GO:0050867,positive regulation of cell activation,16/207,454/28891,2.055168410343071e-7,3.698018658361063e-5,2.9854025329194084e-5,Lck/Icosl/Cd40/Xbp1/Cd5/Zap70/Actb/Thy1/Cd3e/Rara/Cd160/Clcf1/Selenok/Rasal3/Il4i1/Il4i1b,16
B cell,GO:1903037,regulation of leukocyte cell-cell adhesion,15/207,407/28891,2.83424753382665e-7,4.7998815587570147e-5,3.8749340895908627e-5,Lck/Icosl/Xbp1/Cd5/Zap70/Actb/Thy1/Cd3e/Rara/Cd160/Selenok/Rasal3/Skap1/Il4i1/Il4i1b,15
B cell,GO:0050863,regulation of T cell activation,15/207,411/28891,3.209127016484844e-7,5.132820378033259e-5,4.1437148844435885e-5,Lck/Icosl/Xbp1/Cd5/Zap70/Actb/Lat/Thy1/Cd3e/Rara/Cd160/Selenok/Rasal3/Il4i1/Il4i1b,15
B cell,GO:0002757,immune response-activating signaling pathway,15/207,440/28891,7.571158403456512e-7,1.1328589180974524e-4,9.145545752944827e-5,Lck/Icosl/Cd247/Cd40/Slc15a2/Zap70/Lat/Thy1/Cd3e/Cd160/Prkcb/Cd8a/Skap1/Irgm2/Stmp1,15
