cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
B cell,GO:0022626,cytosolic ribosome,14/218,142/28573,5.051238555897715e-12,1.863907027126257e-9,1.520688659986049e-9,Rpl13/Nhp2/Rpl10/Ubb/Rpl22/Rps29/Rpl21/Rps2/Rps27rt/Rps12/Rpl35/Rps28/Uba52/Rpl41,14
B cell,GO:0044391,ribosomal subunit,15/218,215/28573,1.2505565224054746e-10,2.3072767838381005e-8,1.882416660041925e-8,Rpl13/Nhp2/Rpl10/Ubb/Rpl22/Rps29/Rpl21/Rps2/Rps27rt/Mrpl18/Rps12/Rpl35/Rps28/Uba52/Rpl41,15
B cell,GO:0005840,ribosome,16/218,267/28573,2.834546832418594e-10,3.4864926038748704e-8,2.8444926107779576e-8,Rpl13/Nhp2/Rpl10/Ubb/Snca/Rpl22/Rps29/Rpl21/Rps2/Rps27rt/Mrpl18/Rps12/Rpl35/Rps28/Uba52/Rpl41,16
B cell,GO:0001772,immunological synapse,8/218,50/28573,4.115426252939637e-9,3.796480718336815e-7,3.0973997587914114e-7,Lck/Myh9/Zap70/Lat/Cd3e/Skap1/Il4i1/Il4i1b,8
B cell,GO:0043209,myelin sheath,13/218,208/28573,8.38362550025111e-9,5.91737197273141e-7,4.827751773502164e-7,Ubb/Nme2/Ehd3/Car13/Uchl1/Actb/Thy1/Hbb-b1/Gapdh/Eno1/Hba-a1/Ppia/Uba52,13
B cell,GO:0022625,cytosolic large ribosomal subunit,9/218,79/28573,9.621743045091724e-9,5.91737197273141e-7,4.827751773502164e-7,Rpl13/Nhp2/Rpl10/Rpl22/Rpl21/Rps12/Rpl35/Uba52/Rpl41,9
B cell,GO:0005833,hemoglobin complex,5/218,13/28573,3.023643104343755e-8,1.5938918650040653e-6,1.3003938764546076e-6,Hbb-b1/Hbb-bs/Hba-a2/Hba-a1/Hbq1b,5
B cell,GO:0031838,haptoglobin-hemoglobin complex,5/218,14/28573,4.67425613174362e-8,1.9876924732948278e-6,1.621680351910771e-6,Hbb-b1/Hbb-bs/Hba-a2/Hba-a1/Hbq1b,5
B cell,GO:0022627,cytosolic small ribosomal subunit,7/218,45/28573,4.848030422670312e-8,1.9876924732948278e-6,1.621680351910771e-6,Ubb/Rps29/Rps2/Rps27rt/Rps12/Rps28/Uba52,7
B cell,GO:0015934,large ribosomal subunit,10/218,137/28573,1.0723553355379063e-7,3.956991188134874e-6,3.228353957514118e-6,Rpl13/Nhp2/Rpl10/Rpl22/Rpl21/Mrpl18/Rps12/Rpl35/Uba52/Rpl41,10
B cell,GO:0042101,T cell receptor complex,5/218,22/28573,5.849943446477177e-7,1.9623901197727983e-5,1.601037153772701e-5,Cd3g/Cd247/Zap70/Cd3e/Skap1,5
B cell,GO:0098800,inner mitochondrial membrane protein complex,9/218,154/28573,3.0197636681594224e-6,9.285773279590224e-5,7.575898325382412e-5,Timm23/Ndufa12/Uqcrb/Smdt1/Ndufv3/Ndufa8/Dnajc19/Ndufc2/COX1,9
B cell,GO:0015935,small ribosomal subunit,7/218,83/28573,3.4706151346118495e-6,9.851207574398249e-5,8.037213995943232e-5,Ubb/Rps29/Rps2/Rps27rt/Rps12/Rps28/Uba52,7
B cell,GO:0098562,cytoplasmic side of membrane,10/218,212/28573,5.802828916182468e-6,1.5294599071938075e-4,1.247826368442245e-4,Lck/H13/Myh9/Zap70/Gnas/Ikbkb/Hid1/Gngt2/Rasal3/Bloc1s1,10
B cell,GO:0005746,mitochondrial respirasome,7/218,95/28573,8.549597822214945e-6,2.1032010642648766e-4,1.7159192822129647e-4,Ndufa12/Uqcrb/Ndufv3/Ndufa8/Ndufc2/COX1/Stmp1,7
B cell,GO:0070469,respirasome,7/218,103/28573,1.456046586743316e-5,3.3580074406767724e-4,2.739666604003871e-4,Ndufa12/Uqcrb/Ndufv3/Ndufa8/Ndufc2/COX1/Stmp1,7
B cell,GO:0140534,endoplasmic reticulum protein-containing complex,7/218,135/28573,8.282172976572376e-5,0.0017977187225618864,0.001466688217523034,Derl3/H13/Hsp90b1/Mzb1/Sec11c/Rpn2/Sec61b,7
B cell,GO:0042105,alpha-beta T cell receptor complex,3/218,12/28573,9.159650572363568e-5,0.0018717642016893433,0.0015270990206337246,Cd3g/Cd247/Cd3e,3
B cell,GO:0098803,respiratory chain complex,6/218,96/28573,9.637810252600954e-5,0.0018717642016893433,0.0015270990206337246,Ndufa12/Uqcrb/Ndufv3/Ndufa8/Ndufc2/COX1,6
B cell,GO:0098798,mitochondrial protein-containing complex,10/218,303/28573,1.2096881896573645e-4,0.0022318747099178376,0.0018208990644316117,Timm23/Ndufa12/Uqcrb/Smdt1/Ndufv3/Ndufa8/Dnajc19/Ndufc2/Mrpl18/COX1,10
B cell,GO:0098802,plasma membrane signaling receptor complex,8/218,198/28573,1.4843538040250549e-4,0.002608221684215454,0.002127945804266495,Itgb7/Cd3g/Cd247/Cd40/Zap70/Ikbkb/Cd3e/Skap1,8
B cell,GO:0005758,mitochondrial intermembrane space,5/218,77/28573,3.122608690480067e-4,0.005237466394487022,0.00427304347118325,Timm23/Ndufa8/Rexo2/Stmp1/Bloc1s1,5
B cell,GO:0043235,receptor complex,11/218,417/28573,3.8852054099900536e-4,0.0062332208534188254,0.00508544049087943,Itgb7/Cd3g/Cd247/Cd40/Zap70/Cr2/Ikbkb/Cd3e/Cd8b1/Cd8a/Skap1,11
B cell,GO:1990204,oxidoreductase complex,6/218,127/28573,4.4199800094665387e-4,0.006795719264554803,0.005544360889067676,Ndufa12/Uqcrb/Ndufv3/Ndufa8/Ndufc2/COX1,6
B cell,GO:0031970,organelle envelope lumen,5/218,90/28573,6.411779067107469e-4,0.009463785903050624,0.007721131845022048,Timm23/Ndufa8/Rexo2/Stmp1/Bloc1s1,5
B cell,GO:0005776,autophagosome,5/218,92/28573,7.086806124626428e-4,0.010057813307642893,0.008205775512725338,Fth1/Rpn2/Trp53inp1/Ftl1/Irgm2,5
B cell,GO:0005747,mitochondrial respiratory chain complex I,4/218,55/28573,8.289614578934354e-4,0.010547819929747506,0.008605552702632397,Ndufa12/Ndufv3/Ndufa8/Ndufc2,4
B cell,GO:0030964,NADH dehydrogenase complex,4/218,55/28573,8.289614578934354e-4,0.010547819929747506,0.008605552702632397,Ndufa12/Ndufv3/Ndufa8/Ndufc2,4
B cell,GO:0045271,respiratory chain complex I,4/218,55/28573,8.289614578934354e-4,0.010547819929747506,0.008605552702632397,Ndufa12/Ndufv3/Ndufa8/Ndufc2,4
B cell,GO:0030684,preribosome,5/218,112/28573,0.0017100082327056296,0.021033101262279245,0.017160082615923163,Rps27rt/Mdn1/Rps12/Nol7/Rps28,5
B cell,GO:0005790,smooth endoplasmic reticulum,3/218,33/28573,0.0020186453715778825,0.024028391681039953,0.019603822623812377,Rpl10/Hsp90b1/Prdx4,3
B cell,GO:0045121,membrane raft,8/218,301/28573,0.002288139208988449,0.025345349646740564,0.020678276990351737,Lck/Cacna1h/Zap70/Actb/Thy1/Cd8a/Skap1/Eno1,8
B cell,GO:0000786,nucleosome,5/218,120/28573,0.002313156318829135,0.025345349646740564,0.020678276990351737,H3f3b/Actb/H2bc27/H2ac25/H1f0,5
B cell,GO:0098857,membrane microdomain,8/218,302/28573,0.0023353438698893742,0.025345349646740564,0.020678276990351737,Lck/Cacna1h/Zap70/Actb/Thy1/Cd8a/Skap1/Eno1,8
B cell,GO:0031234,extrinsic component of cytoplasmic side of plasma membrane,4/218,74/28573,0.0024988656464788235,0.026345183530019595,0.021494002252419354,Lck/Zap70/Gnas/Gngt2,4
B cell,GO:0032040,small-subunit processome,4/218,75/28573,0.0026240886220838043,0.026557680487402886,0.02166737018798239,Rps27rt/Rps12/Nol7/Rps28,4
B cell,GO:0009898,cytoplasmic side of plasma membrane,6/218,180/28573,0.0026629652521244084,0.026557680487402886,0.02166737018798239,Lck/Myh9/Zap70/Gnas/Ikbkb/Gngt2,6
B cell,GO:0031904,endosome lumen,2/218,11/28573,0.003045656606413341,0.028816597122218533,0.023510331698629303,Ide/Gapdh,2
B cell,GO:0035631,CD40 receptor complex,2/218,11/28573,0.003045656606413341,0.028816597122218533,0.023510331698629303,Cd40/Ikbkb,2
B cell,GO:1902495,transmembrane transporter complex,9/218,396/28573,0.003544754336323891,0.03194897436184343,0.026065915468512963,Ndufa12/Uqcrb/Smdt1/Ndufv3/Cacna1h/Cacna1s/Ndufa8/Ndufc2/COX1,9
B cell,GO:0005744,TIM23 mitochondrial import inner membrane translocase complex,2/218,12/28573,0.003636468626551284,0.03194897436184343,0.026065915468512963,Timm23/Dnajc19,2
B cell,GO:0034663,endoplasmic reticulum chaperone complex,2/218,12/28573,0.003636468626551284,0.03194897436184343,0.026065915468512963,Hsp90b1/Mzb1,2
B cell,GO:0005750,mitochondrial respiratory chain complex III,2/218,13/28573,0.004276116463333546,0.03506415499933507,0.028607469204991676,Uqcrb/COX1,2
B cell,GO:0044322,endoplasmic reticulum quality control compartment,2/218,13/28573,0.004276116463333546,0.03506415499933507,0.028607469204991676,Edem1/Sec61b,2
B cell,GO:0045275,respiratory chain complex III,2/218,13/28573,0.004276116463333546,0.03506415499933507,0.028607469204991676,Uqcrb/COX1,2
B cell,GO:0005788,endoplasmic reticulum lumen,4/218,89/28573,0.00485340638586004,0.038932759921355545,0.03176371227359203,Hsp90b1/Mzb1/Manf/Poglut1,4
B cell,GO:0044754,autolysosome,2/218,14/28573,0.0049638274744062336,0.0389713263416149,0.03179517710369951,Fth1/Ftl1,2
B cell,GO:1990351,transporter complex,9/218,421/28573,0.005260602429907602,0.04044088117991469,0.032994129275297684,Ndufa12/Uqcrb/Smdt1/Ndufv3/Cacna1h/Cacna1s/Ndufa8/Ndufc2/COX1,9
B cell,GO:0030139,endocytic vesicle,6/218,214/28573,0.006166336695464793,0.04643629062503079,0.03788554876268381,Lck/Myh9/Ehd3/Fth1/Ftl1/Pld4,6
Erythrocyte,GO:0005788,endoplasmic reticulum lumen,10/221,89/28573,1.8649356859313533e-9,6.210235834151407e-7,5.732223371494266e-7,Hsp90b1/Pdia6/Clu/Cd4/Ache/Mzb1/Manf/Txndc5/Lyz1/Rnaset2a,10
Erythrocyte,GO:0140534,endoplasmic reticulum protein-containing complex,8/221,135/28573,1.0767822252422079e-5,0.0017928424050282761,0.001654844261951183,Derl3/H13/Hsp90b1/Pdia6/Mzb1/Sec11c/Krtcap2/Selenos,8
Erythrocyte,GO:0001772,immunological synapse,5/221,50/28573,4.222069255124157e-5,0.004686496873187815,0.004325769201741243,Myh9/Cd3e/Skap1/Il4i1/Il4i1b,5
Erythrocyte,GO:0034663,endoplasmic reticulum chaperone complex,3/221,12/28573,9.538044291745748e-5,0.007940421872878335,0.007329234034709892,Hsp90b1/Pdia6/Mzb1,3
Erythrocyte,GO:0015935,small ribosomal subunit,5/221,83/28573,4.706010443230433e-4,0.03134202955191468,0.02892957998785867,Mrps18c/Ubb/Mrps24/Rps27rt/Uba52,5
Erythrocyte,GO:0042101,T cell receptor complex,3/221,22/28573,6.3059931518756e-4,0.03499826199290958,0.03230438597101185,Trat1/Cd3e/Skap1,3
Erythrocyte,GO:0005795,Golgi stack,5/221,95/28573,8.714236172895075e-4,0.04145486636534371,0.03826401447346409,St6gal1/Bet1/Lpcat2/Hid1/Lyz1,5
Erythrocyte,GO:0000139,Golgi membrane,8/221,265/28573,0.0011219256510603187,0.046700155225385766,0.043105564488106984,St6gal1/Aph1b/Bet1/Tpst1/Hid1/Creb3l2/Lman1/Irgm2,8
Neutrophil,GO:0022626,cytosolic ribosome,18/153,142/28573,7.448361388337347e-20,2.234508416501204e-17,1.8424893960623963e-17,Rpl13/Rpl10/Ubb/Rps27a/Rps24/Rps3a1/Rps20/Rpl22/Rps29/Rpl21/Rps2/Rpl37a/Rpl9/Rps8/Rps10/Rps7/Rps28/Uba52,18
Neutrophil,GO:0022627,cytosolic small ribosomal subunit,12/153,45/28573,8.849806725309997e-18,1.3274710087964995e-15,1.0945813581304469e-15,Ubb/Rps27a/Rps24/Rps3a1/Rps20/Rps29/Rps2/Rps8/Rps10/Rps7/Rps28/Uba52,12
Neutrophil,GO:0140534,endoplasmic reticulum protein-containing complex,16/153,135/28573,2.739867846290697e-17,2.739867846290697e-15,2.259189276766013e-15,Ssr4/Derl3/H13/Hsp90b1/Pdia6/Spcs1/Mzb1/Sec11c/Rpn2/Rpn1/Spcs2/Ost4/Ostc/Krtcap2/Sec61b/Selenos,16
Neutrophil,GO:0044391,ribosomal subunit,18/153,215/28573,1.3887444017935868e-16,1.0415583013451902e-14,8.588287747934024e-15,Rpl13/Rpl10/Ubb/Rps27a/Rps24/Rps3a1/Rps20/Rpl22/Rps29/Rpl21/Rps2/Rpl37a/Rpl9/Rps8/Rps10/Rps7/Rps28/Uba52,18
Neutrophil,GO:0005840,ribosome,18/153,267/28573,6.272115142413132e-15,3.763269085447879e-13,3.103046438878075e-13,Rpl13/Rpl10/Ubb/Rps27a/Rps24/Rps3a1/Rps20/Rpl22/Rps29/Rpl21/Rps2/Rpl37a/Rpl9/Rps8/Rps10/Rps7/Rps28/Uba52,18
Neutrophil,GO:0015935,small ribosomal subunit,12/153,83/28573,2.5052591852101914e-14,1.2526295926050957e-12,1.032870014955079e-12,Ubb/Rps27a/Rps24/Rps3a1/Rps20/Rps29/Rps2/Rps8/Rps10/Rps7/Rps28/Uba52,12
Neutrophil,GO:0043209,myelin sheath,12/153,208/28573,1.447678371172361e-9,6.204335876452975e-8,5.115855898127892e-8,Cox5a/Hspa8/Ubb/Rps27a/Nme2/Actb/Hbb-b1/Gapdh/Eno1/Hba-a1/Ppia/Uba52,12
Neutrophil,GO:0005833,hemoglobin complex,5/153,13/28573,5.125236310767825e-9,1.9219636165379344e-7,1.5847770171453142e-7,Hbb-b1/Hbb-bs/Hba-a2/Hba-a1/Hbb-bt,5
Neutrophil,GO:0008250,oligosaccharyltransferase complex,5/153,14/28573,7.93819665130163e-9,2.381458995390489e-7,1.9636591716377717e-7,Rpn2/Rpn1/Ost4/Ostc/Krtcap2,5
Neutrophil,GO:0031838,haptoglobin-hemoglobin complex,5/153,14/28573,7.93819665130163e-9,2.381458995390489e-7,1.9636591716377717e-7,Hbb-b1/Hbb-bs/Hba-a2/Hba-a1/Hbb-bt,5
Neutrophil,GO:0022625,cytosolic large ribosomal subunit,7/153,79/28573,2.308148500110136e-7,6.294950454845826e-6,5.190573182065856e-6,Rpl13/Rpl10/Rpl22/Rpl21/Rpl37a/Rpl9/Uba52,7
Neutrophil,GO:0005776,autophagosome,7/153,92/28573,6.582082013183063e-7,1.6455205032957657e-5,1.3568326957000173e-5,Hspa8/Fth1/Rpn2/Trp53inp1/Gabarapl2/Ftl1/Irgm2,7
Neutrophil,GO:0032040,small-subunit processome,6/153,75/28573,3.172047228968977e-6,7.320108989928408e-5,6.035879342572547e-5,Rps27a/Rps24/Rps3a1/Rps8/Rps7/Rps28,6
Neutrophil,GO:0015934,large ribosomal subunit,7/153,137/28573,9.4539297070399e-6,2.0258420800799783e-4,1.6704311888378768e-4,Rpl13/Rpl10/Rpl22/Rpl21/Rpl37a/Rpl9/Uba52,7
Neutrophil,GO:0005790,smooth endoplasmic reticulum,4/153,33/28573,2.8658702132845452e-5,5.652624631100003e-4,4.660936099328073e-4,Rpl10/Hsp90b1/Pdia6/Prdx4,4
Neutrophil,GO:0034663,endoplasmic reticulum chaperone complex,3/153,12/28573,3.1967292856206056e-5,5.652624631100003e-4,4.660936099328073e-4,Hsp90b1/Pdia6/Mzb1,3
Neutrophil,GO:0030684,preribosome,6/153,112/28573,3.203153957623335e-5,5.652624631100003e-4,4.660936099328073e-4,Rps27a/Rps24/Rps3a1/Rps8/Rps7/Rps28,6
Neutrophil,GO:0044322,endoplasmic reticulum quality control compartment,3/153,13/28573,4.139418848312963e-5,6.899031413854939e-4,5.688675025459335e-4,Edem1/Herpud1/Sec61b,3
Neutrophil,GO:0005791,rough endoplasmic reticulum,4/153,46/28573,1.0827257352688081e-4,0.0017095669504244339,0.001409642924034182,Ssr4/H13/Rpn1/Sec61b,4
Neutrophil,GO:0005788,endoplasmic reticulum lumen,5/153,89/28573,1.1915014544044236e-4,0.0017872521816066354,0.0014736991672896816,Hsp90b1/Pdia6/Mzb1/Manf/Txndc5,5
Neutrophil,GO:0016460,myosin II complex,3/153,26/28573,3.5756592661515435e-4,0.005108084665930776,0.004211929461381518,Myh11/Myl4/Myl9,3
Neutrophil,GO:1905368,peptidase complex,5/153,121/28573,4.975542343510317e-4,0.00678483046842316,0.005594509333612079,Hspb1/Psma2/Spcs1/Sec11c/Spcs2,5
Neutrophil,GO:0140092,bBAF complex,2/153,10/28573,0.001246251931018532,0.01564339600102466,0.012898940562248403,Actb/Smarce1,2
Neutrophil,GO:0000421,autophagosome membrane,3/153,40/28573,0.0012862357503122357,0.01564339600102466,0.012898940562248403,Rpn2/Gabarapl2/Irgm2,3
Neutrophil,GO:0001725,stress fiber,4/153,89/28573,0.0013557609867554704,0.01564339600102466,0.012898940562248403,Myh11/Actb/Acta2/Myl9,4
Neutrophil,GO:0097517,contractile actin filament bundle,4/153,89/28573,0.0013557609867554704,0.01564339600102466,0.012898940562248403,Myh11/Actb/Acta2/Myl9,4
Neutrophil,GO:0031904,endosome lumen,2/153,11/28573,0.0015178478999233515,0.016864976665815015,0.01390620882970712,Hspa8/Gapdh,2
Neutrophil,GO:0019814,immunoglobulin complex,3/153,45/28573,0.0018115866876242505,0.019327106039530837,0.01593638568171841,Cd79a/Cd79b/Jchain,3
