symbol,chromosome_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
Gm42418,NA,-1.6628072612306344,10.682885403715144,-20.488828939178752,6.250615455632453e-18,3.602854748626546e-14,30.694095366877296
Ubb,11,-1.4172507294440386,9.91779211227252,-16.494664791900224,1.397101187010709e-15,5.368594161286484e-12,25.523710162011618
Gm8797,3,5.674306954267767,5.684218567953563,22.519208596429454,5.649117919620938e-19,6.5123031377390165e-15,25.242467508760143
Slpi,2,-1.9385662896729396,9.118583395450788,-14.270969266697866,4.649853384624054e-14,1.3400877454486525e-10,22.11218028640049
Cxcr3,X,-1.813539523342432,5.76258112040518,-12.046316758343803,2.4325818906802118e-12,4.673800672626913e-9,17.886484343680827
Gm49980,18,-1.6247817217744913,5.809672086803001,-11.730761127363508,4.446528184042567e-12,7.322796700806102e-9,17.369601819819984
Eps8l1,7,2.9779295025191206,4.450766889762823,12.405104203555032,1.241655012162334e-12,2.8627597960414772e-9,16.651691642169812
Lars2,9,-1.3599385591022335,6.585105413684718,-11.103843485225514,1.5242187000534875e-11,2.1963991467770757e-8,16.388412140073548
Pkig,2,-0.9532717695272668,7.3572886581963495,-9.174268296417921,9.124945544103406e-10,9.79852983704646e-7,12.448646837963292
Eaf2,16,-1.5608910800654456,5.346101627042254,-9.151651594776911,9.600353400722346e-10,9.79852983704646e-7,12.254234162286744
Tbx21,11,-2.272237940476794,4.407679850103295,-9.17805881726246,9.047663331364869e-10,9.79852983704646e-7,11.779434263513375
Jchain,5,-0.8422712879320784,10.179173755180681,-8.432397162778647,5.000746551643298e-9,4.434508172872611e-6,10.694782842526074
Ly6c2,15,-0.9055560424391125,7.335782770530652,-8.367726673864244,5.8201789789682705e-9,4.792501662110444e-6,10.626470366075578
Gm21887,X,1.986491569606657,4.353702057268536,8.167385226645536,9.345737231347459e-9,7.1825105868649e-6,9.686042827725004
Hba-a1,11,-0.717052611449402,13.811407100052925,-8.025509129285593,1.3111602322466413e-8,9.446909473337051e-6,9.616732276942576
Ikbkb,8,0.9294937679523443,8.398778270127405,7.882981970611094,1.8472449741149963e-8,1.2526494153880987e-5,9.455687252699438
H1f0,15,-1.2146791962338073,5.50436428237907,-7.814616186649484,2.1794129207863504e-8,1.3223301132013182e-5,9.343471487292058
Rpl21,5,-0.6009481664967922,12.028649252655336,-7.821671777708014,2.1424750786684544e-8,1.3223301132013182e-5,9.177033066063345
Slc15a2,16,-3.87772797682029,3.3224900446289274,-9.124722203522982,1.0199718775551486e-9,9.79852983704646e-7,8.876774646103033
Pld4,12,-0.7611430708859324,8.260480918808383,-7.605492807658225,3.627768443740571e-8,2.091045730972065e-5,8.791175990552832
Mzb1,18,-0.8603451231136603,8.82979341078033,-7.496651044850583,4.740008975281989e-8,2.6020392127167032e-5,8.505248746357315
Uba52,8,0.7742741402994895,8.723036843016615,7.167343562615608,1.0742061513477933e-7,5.628840233062437e-5,7.696146776453079
Ftl1,7,-0.5939963427403345,11.186213603002514,-7.091815144958863,1.2983542730919528e-7,6.507577417480014e-5,7.399064893225742
Ide,19,-0.9356329609751199,5.797826352204448,-6.878187183259868,2.2273217648018474e-7,1.0270626121854278e-4,7.112081838856273
Creld2,15,-0.9540213310214485,6.612779614232641,-6.880198200013335,2.215979380525655e-7,1.0270626121854278e-4,7.075068445624496
Rexo2,9,-0.7676421135639062,6.9103726832408645,-6.825356723867543,2.547436093173461e-7,1.1294939723886022e-4,6.91914859881013
Hmgn2,4,-0.7165510327308997,7.097061832590161,-6.707680006346163,3.439549596356537e-7,1.4685602869184505e-4,6.611039819576352
Cdk5rap1,2,-1.3730398874586576,4.328781146489456,-6.675815183310798,3.7318695455733835e-7,1.5364640043346415e-4,6.512876956662732
Xbp1,11,-0.7723856643349132,7.571760353003592,-6.596059587819335,4.579349974486087e-7,1.8203705691681246e-4,6.304998031054878
Derl3,10,-1.1783742357840437,5.035755411362883,-6.51455118481368,5.648599758104952e-7,2.1453028574398665e-4,6.219908114764839
Emid1,11,-1.3309584482348962,4.587135342248892,-6.506377951299234,5.768944186384096e-7,2.1453028574398665e-4,6.16137820218101
Myh9,15,0.7164464817036,7.5351304489125095,6.4640374576592405,6.435375211483549e-7,2.3183439199369484e-4,5.972324884729366
Rbm38,2,0.6838225121230677,7.055520293495446,6.41714389712358,7.265248514558184e-7,2.5379934810856587e-4,5.878130255924263
Cd7,11,0.7783282572148629,6.355451992508047,6.358538925814916,8.457046701570778e-7,2.8674363051678803e-4,5.781343834213255
Serinc3,2,-0.5724159017836783,9.44343660880123,-6.285553859951483,1.0223049949336199e-6,3.3671805661699344e-4,5.421048540517857
Thy1,9,0.6888987812104563,6.966287351875211,6.218002287037492,1.2190168078251185e-6,3.903562711279991e-4,5.374290099490636
Bhlhe41,6,-1.2558095428656193,4.294198706550135,-6.103838089537364,1.6428452401135833e-6,5.118572953521456e-4,5.153752424215429
Pcp4,16,-1.5976693773119237,3.748523650225607,-5.793176968707216,3.7211735729214544e-6,0.0010724422237159631,4.256949869509707
Hsp90b1,10,-0.546825029096631,8.959936527608697,-5.814044044593121,3.521480618611603e-6,0.0010409135531116553,4.218044837704056
Rpl13,8,-0.4559483819856176,11.94249275959488,-5.8690301078144325,3.0455881244865605e-6,9.239352605021334e-4,4.215382767214724
Irgm2,11,0.8490787492152734,5.517557612644521,5.608226471772295,6.075389955133781e-6,0.001594897789533692,3.934963655809365
Srp9,1,-0.588727118838249,7.422985356144466,-5.641320854774681,5.564255276334639e-6,0.0015272555910853744,3.8438181523703
Tspo2,17,-0.9388657106513918,5.572894671580355,-5.559755164675958,6.910797156726362e-6,0.001682475427774378,3.801408990553494
Cd8a,6,0.8528420856630543,5.540754870662333,5.548939957425258,7.112483098332584e-6,0.001682475427774378,3.782881519487212
Zbtb32,7,-1.265742683416485,3.9773825350657166,-5.54082196433227,7.2677608315263336e-6,0.001682475427774378,3.746416876782561
Cd38,5,-0.5732890607950658,7.358942627435872,-5.59902493128519,6.225746055605147e-6,0.001594897789533692,3.7366057137342423
Manf,9,-0.5908562634264198,7.627116626582574,-5.60376261654522,6.147867753874442e-6,0.001594897789533692,3.7339496989909424
Edem1,6,-0.6119141857422186,7.193647625842857,-5.539295235083836,7.297343111443347e-6,0.001682475427774378,3.5913102956378005
Nme2,11,-0.5024308154922217,9.022949975606906,-5.548163279851885,7.127193248689704e-6,0.001682475427774378,3.5161010920354965
Rbmxl1,8,-0.6519279833195837,6.427674669627559,-5.476621974130828,8.622495295385799e-6,0.0019490220738275976,3.4960939626666097
Fkbp11,15,-1.3014697991170117,4.457289561562912,-5.377117907727641,1.1242730031154213e-5,0.002356476214529923,3.389512791415209
Ift20,11,-0.6239143238447502,6.747582931870851,-5.437664513030994,9.565886078744204e-6,0.002057812544153415,3.363405632365197
mt-Co1,MT,-0.5070698900964974,10.925965612875487,-5.443638396609358,9.414741115373016e-6,0.002057812544153415,3.1330226989304215
Actb,5,0.4085219537681155,12.46743521886188,5.434797010563363,9.63930234076027e-6,0.002057812544153415,3.046040465756688
Hist3h2ba,11,-1.8892689261234634,2.946121439024341,-5.33060131340474,1.2729581708654798e-5,0.0026204753203102234,2.851516200439683
Tipin,9,-0.6541286103011208,6.024883768778613,-5.203328315193467,1.7889562537944257e-5,0.0034371812822903565,2.828034183618736
Eno1,4,-0.6673232383098746,6.963902508520687,-5.23801590221063,1.6304058180487045e-5,0.003240572115597494,2.8210725026768984
Apol7c,15,1.1128763390552132,4.662174093539385,5.120982915553801,2.230199285377741e-5,0.0038954147517931206,2.751041530180439
Selenok,14,-0.5609377630872352,7.393940009359236,-5.213573377581672,1.7405800117442435e-5,0.003400916334811464,2.7220392741070647
Rpl35,2,-0.43615086135693737,10.077841697208703,-5.25408263712184,1.5618299429108317e-5,0.0031587325582238717,2.675756762008488
Nacad,11,2.9179021835619654,2.5364649338881606,5.77563873645708,3.897838714919212e-6,0.0010959581635509434,2.6573000940027205
Selenow,7,-0.490046123073423,8.558089465912763,-5.185105364612996,1.8783657736705707e-5,0.0035086330856628784,2.5834494806661006
Ube2s,7,-0.5260391035595404,8.56043608814938,-5.162379247472766,1.9961855075290258e-5,0.003595629145436658,2.523504209613902
Rps27rt,9,0.5686474664710399,7.527401268354485,5.132712691291131,2.161226126266992e-5,0.00383301765901629,2.504209072106203
Rps28,17,0.4757685641061329,10.545444920313662,5.1781828480892615,1.9134951414238117e-5,0.0035086330856628784,2.448534722196122
Fcgr2b,1,-0.5584669929173822,6.7957660987647674,-5.0897390261439766,2.42489138220834e-5,0.004172260873745931,2.4463684022216423
Rpl22,4,-0.4095204085463404,10.967155922544254,-5.177411099384198,1.9174521547255493e-5,0.0035086330856628784,2.4246538258220296
Hbq1b,11,-1.2551325981838999,3.8009881633761795,-4.973043918069593,3.31535801796271e-5,0.005251165568121922,2.3577269091029045
Ehd3,17,0.8741412023198984,4.9371675863582904,4.967373985714471,3.366145461853862e-5,0.005251165568121922,2.345791962833494
Zap70,1,0.7081433147349152,5.829403103212652,4.971145229967579,3.332279129488104e-5,0.005251165568121922,2.2577804552670067
Cacna1s,1,-1.200691841352338,3.8189320919587204,-4.918263946559855,3.8399544649888825e-5,0.0058246046147884,2.224495015825129
Rnps1,17,-0.509838572699274,7.352447827247502,-5.002539741509752,3.0632788078878184e-5,0.005117895376424749,2.168785359056118
Itgb7,15,0.5174286791704779,7.226869407739407,4.988291204202838,3.182558311999879e-5,0.005241218888676372,2.1436639391628525
Ccl22,8,1.513786116253507,3.3784595415384238,4.9204607970734084,3.817397966264289e-5,0.0058246046147884,2.1253750581875295
H2-DMb1,17,0.5184950319454487,7.973600607091789,4.966858233654251,3.370803713055363e-5,0.005251165568121922,2.03831519830326
Rps29,12,0.4316222103754779,11.22909182738453,5.019227758642079,2.9292609978708237e-5,0.004965958938743361,1.9932736773874913
Txndc11,16,-0.6506098985087041,6.5290653464730974,-4.878169760970524,4.2758786870006056e-5,0.006319529423556793,1.9204169381304244
Sp3os,2,-0.767467533331712,5.0888049481743725,-4.798397540229857,5.295946600832089e-5,0.007307148071724906,1.8946976145382708
Fcer2a,8,0.5662340455688248,8.102635492373858,4.898390928009715,4.050163020635825e-5,0.006063672636609063,1.850666351787286
Top1,2,-0.5735897174780868,6.557158960807488,-4.796397444985753,5.3244312805767874e-5,0.007307148071724906,1.702040602892855
