symbol,chromosome_name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Overlap_Ly_et_al
Gm42418,NA,-1.6579117650578308,10.656273451433705,-18.31661382713375,1.5359979810471932e-19,8.92568426786524e-16,34.196476788446915,FALSE
Gm8797,3,5.669759797237111,5.689469268252121,22.628811266025842,1.6250268183167735e-22,1.888606168247754e-18,32.81995967262061,FALSE
Slpi,2,-1.95209385290579,9.123886653551207,-15.389080060437893,3.574923720005319e-17,1.0847811157131817e-13,28.933992034050334,FALSE
Ubb,11,-1.4346669840273627,9.922646387920617,-15.367316011719465,3.733543678241892e-17,1.0847811157131817e-13,28.926262538147615,FALSE
Cxcr3,X,-1.8147781133060255,5.743266953657494,-12.158827201290457,3.8793354407629326e-14,7.514272748757801e-11,21.80914849601906,TRUE
Gm49980,18,-1.6692590275028518,5.803579976539634,-12.026052090661619,5.30346178916883e-14,8.805261844817162e-11,21.555407232201475,FALSE
Eps8l1,7,2.9573868212780097,4.4042586043375,12.248142692167967,3.1472327606714596e-14,7.315427828904741e-11,20.179680628856055,FALSE
Lars2,9,-1.4141094565574788,6.546333914307878,-11.167399751104794,4.223474310456959e-13,6.135652304516348e-10,19.761689824606893,FALSE
Eaf2,16,-1.575210484844149,5.343881710459443,-9.323798977952077,5.002056469593918e-11,5.813390028962052e-8,15.00677681294415,FALSE
Tbx21,11,-2.336853455654496,4.353389794232179,-9.497374836145811,3.1313388848693846e-11,4.043602279994665e-8,14.825562599032,TRUE
Pkig,2,-0.9276843545919604,7.3522765532249625,-8.731172417504915,2.548918705254751e-10,2.468627766039226e-7,13.55480599110413,TRUE
Ly6c2,15,-0.9185193641627087,7.359197061850484,-8.427270152429317,5.976927246646827e-10,5.343372958502262e-7,12.717151755566046,FALSE
Jchain,5,-0.8644357498843362,10.195680578860081,-8.381103786092662,6.809814995565914e-10,5.653119277033361e-7,12.543222011617251,FALSE
Hba-a1,11,-0.7582350139956731,13.881973565219871,-8.23478863073893,1.0314252842022604e-9,7.492015408124169e-7,12.098422816942346,FALSE
Ikbkb,8,0.9714729707922647,8.384259714599231,8.164201498320917,1.2612998569363256e-9,8.622839374890574e-7,11.964199390911276,FALSE
Gm21887,X,1.9335095040112011,4.339501737078798,8.275883399311175,9.176657675793969e-10,7.110074367205167e-7,11.84697060714582,FALSE
H1f0,15,-1.2183203036778112,5.511565708660984,-7.98847602138996,2.0866616631194257e-9,1.3472878804874426e-6,11.500794078012099,FALSE
Mzb1,18,-0.8895824831387298,8.832708655202767,-7.680834796677855,5.080178245260638e-9,3.1074648192852175e-6,10.581197438650701,FALSE
Slc15a2,16,-3.892949845410503,3.2331012936521617,-8.865404077720736,1.7557756055257936e-10,1.8550567352200703e-7,10.314886527484983,FALSE
