symbol,chromosome_name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Overlap_Ly_et_al
Gm42418,NA,-1.7690507679776335,10.999493130257514,-11.96744488332553,4.599173671077354e-9,1.819663062961755e-5,11.03036649851688,FALSE
Ubb,11,-1.332314240919196,10.058290958365513,-10.062722284490174,4.6964550885747163e-8,1.2387683038630576e-4,8.876740522840105,FALSE
Gm8797,3,5.234803856160006,5.633135115024541,14.164424014470567,4.478416132016956e-10,3.5437706852650173e-6,8.107225529156477,FALSE
Slpi,2,-1.6863774334111952,9.053608577678737,-8.448999614891292,4.4383262764551955e-7,8.78011895639749e-4,6.702230942423588,FALSE
Pkig,2,-1.068578544410701,8.014944530738227,-6.307259139361391,1.4199487287969208e-5,0.01605150612995719,3.3996328116142784,TRUE
Gm49980,18,-2.0792423830906426,6.329579785567083,-6.538803952689645,9.479257934499951e-6,0.012501561339283018,2.986696573808663,FALSE
Slc40a1,1,1.093955664761082,6.5909808838961395,5.819393957482077,3.408348127888825e-5,0.0313324126426721,2.552365299355867,FALSE
Eps8l1,7,3.0909351986030873,4.442519488419844,6.940459079624951,4.785306729928063e-6,0.007573226430784153,2.400481331017268,FALSE
Gm21887,X,2.0761557464651235,4.704249858536498,5.795044035594365,3.5636511283211036e-5,0.0313324126426721,1.882415488763197,FALSE
Pam,1,2.1146698071658587,4.520855609556984,5.697022654803347,4.267251154075895e-5,0.033766758382202555,1.5803970086373598,FALSE
