symbol,chromosome_name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Overlap_Ly_et_al
Slpi,2,-2.123730627776256,9.748836224550917,-21.230050039871536,1.9112964825367049e-16,1.633393973975868e-12,27.508997760105267,FALSE
Ubb,11,-1.5158098321925735,9.999806761022283,-17.76742814988622,8.64547604474291e-15,3.694211913918645e-11,23.939637958955366,FALSE
Jchain,5,-0.9238155635394723,11.137702474710055,-15.69219870146117,1.174993693713418e-13,3.3471653688249565e-10,21.362562463302524,FALSE
Mzb1,18,-1.8416086644370502,8.152895123999325,-14.583930619122619,5.346433035728915e-13,1.1422654180834826e-9,19.685427645249344,FALSE
Xbp1,11,-1.2594344984342554,7.655436885757413,-10.83970694188273,1.9575381676835825e-10,3.345824236204779e-7,14.014215723459081,FALSE
Ly6c2,15,-1.189653164917103,8.13679095974497,-10.455957839067793,3.886079323006832e-10,4.744347699202341e-7,13.380784242839745,FALSE
Eaf2,16,-2.153918867523476,5.301149838058955,-10.485052182070103,3.68702136492569e-10,4.744347699202341e-7,12.517201152188287,FALSE
Creld2,15,-1.4861561102868812,6.673847465373692,-10.035748132687925,8.397646921278417e-10,7.974032287693928e-7,12.516969580840422,FALSE
Serinc3,2,-0.7500876599007906,9.553345822507598,-9.874353680909902,1.135343710924836e-9,8.82058850323968e-7,12.265351428518846,TRUE
Irgm2,11,2.1561107092302825,5.762105698437224,10.251544929039309,5.63854570019733e-10,6.023376444235798e-7,12.147549118564315,FALSE
Rpl21,5,-0.5634215064569332,10.94639138449094,-9.751391643764698,1.4316429116617562e-9,1.019568360255114e-6,11.843957463954217,FALSE
Hba-a1,11,-0.3412761971357092,16.10555967092088,-9.877538776995532,1.1285723344457531e-9,8.82058850323968e-7,11.594309526239547,FALSE
Ftl1,7,-0.534109407377775,11.549475374863238,-9.643614499441966,1.756992049179305e-9,1.1550195424835647e-6,11.545426659356657,FALSE
Trp53inp1,4,-1.2467805607204152,6.609962177859339,-8.769654292347218,9.759778478280781e-9,5.560471125025838e-6,10.192772280178525,FALSE
Hsp90b1,10,-0.8004139447425782,8.82579009305568,-8.314721506730793,2.47792527601059e-8,1.245667612281559e-5,9.245890513098576,FALSE
Hbb-bs,7,-0.28870094508083355,17.665910003183644,-8.642791403473032,1.2620892778752992e-8,6.741134355451442e-6,9.02461963618915,FALSE
Yipf4,17,-1.3857037476675087,5.694494653110434,-7.989061822982121,4.909911452345932e-8,2.2084264879867545e-5,8.525357023263506,FALSE
Edem1,6,-1.10031089665594,6.825831207611981,-7.846486452036156,6.653207576880757e-8,2.8429155976011476e-5,8.361126946460459,FALSE
Actb,5,0.3950783851953954,11.63899393388689,7.9953180325250806,4.845185380769498e-8,2.2084264879867545e-5,8.161772821488592,FALSE
Gm49980,18,-1.5239689650912815,5.451028956503084,-7.758686252917405,8.033039432997295e-8,3.269064523542614e-5,8.001009929142736,FALSE
Ssr4,X,-0.7775105958999999,8.179352372501192,-7.389093202672351,1.7960616891330044e-7,6.67354051970898e-5,7.333272485196847,FALSE
Manf,9,-0.8400597620335857,7.546564929934139,-7.141954870922783,3.107250534057597e-7,1.1064401276690092e-4,6.837219041669801,FALSE
Fkbp11,15,-2.1402429085539163,4.41000351015229,-7.504691141996565,1.3937239428725795e-7,5.4139840071768474e-5,6.780357326405159,FALSE
Fth1,19,-0.3540493395470321,12.009679211559774,-6.866497059542209,5.778253958670981e-7,1.975238333232088e-4,5.566361913487295,FALSE
Rps29,12,0.46341180082303346,10.647093723526567,6.7494630017832655,7.543061696005626e-7,2.479346355925542e-4,5.544411935950951,FALSE
Pou2af1,9,-1.1192182772536556,5.908444916271311,-6.521461998597522,1.2740752173076165e-6,3.798165486337684e-4,5.512661614324854,FALSE
Cd22,7,-1.0462147271638624,6.051486947598013,-6.516471546886516,1.2888696361314398e-6,3.798165486337684e-4,5.505088005829046,FALSE
H13,2,-0.8212892410117192,6.988609117901326,-6.477390841244054,1.4109742784062677e-6,4.019395394419988e-4,5.384385512732659,FALSE
Rps24,14,-0.3457868590322448,11.147431628070283,-6.682382897868812,8.794914438302489e-7,2.7837532885086324e-4,5.275608181996283,FALSE
Rpl10,X,-0.5864186343439464,8.685051938984694,-6.405797183131938,1.6662543561406075e-6,4.5934870088960107e-4,5.057897196634263,FALSE
