symbol,chromosome_name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Overlap_Ly_et_al
Gm42418,NA,-1.484427414702342,10.576487222331478,-15.822113348440318,5.777664277841524e-25,5.595090086661732e-21,46.1179440315503,FALSE
Slpi,2,-1.3471364222132909,11.890888332201175,-14.931602060970075,1.3791691806362265e-23,4.4519581150937395e-20,43.2057214628946,FALSE
Ubb,11,-1.3748176751995693,10.0601958053144,-13.44548793669654,3.441606107461642e-21,8.332128386164635e-18,37.66001597147362,FALSE
Gm8797,3,5.5678078527035115,5.7942399966785265,15.594638190524583,1.2869981345992874e-24,6.23164496772975e-21,34.444738585282956,FALSE
Mzb1,18,-1.2089170518682302,10.474668462378455,-12.113659654482044,6.135008535021921e-19,1.1882284530630456e-15,32.66764711836477,FALSE
Gm49980,18,-2.329557561713428,6.195355109626326,-10.990979428984451,5.703895435121078e-17,9.20608723228542e-14,26.539035802869446,FALSE
Eaf2,16,-1.3153817564309662,7.633284405994788,-9.559900830792962,2.208785549027642e-14,2.6737349070979607e-11,22.2439114991259,FALSE
Cxcr3,X,-1.9507979095405918,6.154197365331424,-9.649575599756696,1.513164207857853e-14,2.0933545984136357e-11,21.81462725397965,TRUE
Rexo2,9,-1.0850707506808757,8.335919517597683,-9.031574436807741,2.0707916767330853e-13,2.2281718441647997e-10,20.187254111311663,FALSE
Hsp90b1,10,-0.825041679618506,10.644359026145274,-8.522583599566543,1.8093337463434484e-12,1.7521587999589953e-9,18.099501003652115,FALSE
Rps29,12,0.7424618509769338,11.037969847497283,8.455017300956554,2.4138141251453065e-12,2.1250341807188316e-9,17.802020176723442,FALSE
Trp53inp1,4,-1.0294284319464824,8.468551238839229,-8.41210519372508,2.8988523176398346e-12,2.3393738203353465e-9,17.64654624620048,FALSE
Xbp1,11,-0.9003980368925468,9.540186041716833,-8.269098350252303,5.337028822758506e-12,3.975675932276413e-9,17.062675263162728,FALSE
Rps28,17,0.7647589706491864,10.389521886855391,8.204968316250625,7.01755815149819e-12,4.854145224222034e-9,16.776475900954363,FALSE
Creld2,15,-0.9831078232732811,8.737105502675133,-8.173408053312471,8.029606919412843e-12,5.183914227172931e-9,16.666216081538842,FALSE
Manf,9,-0.8877291637320521,9.006264312945685,-8.029113707907815,1.4865350997361676e-11,8.997253691153154e-9,16.069746119314125,FALSE
