symbol,chromosome_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
Gm8797,3,5.451353015005938,5.442486078196416,39.83183004595528,2.6298989384824854e-15,3.520382719052655e-11,21.13550019214544
Irgm2,11,1.6668958472427846,5.800896225349161,19.250314449048314,3.769840083290541e-11,2.5231539677463593e-7,15.992948390672858
Gm49980,18,-1.5677913959726464,5.3983081780818605,-18.416112336974482,6.687537912763156e-11,2.98397941667492e-7,15.417891743806939
Nacad,11,3.180356976794747,3.6998757272686107,15.123936138780099,8.347341825666726e-10,2.7934379419593695e-6,12.449094878696256
Fkbp11,15,-1.665731393035478,4.699521268133428,-14.448153661527645,1.489715341005505e-9,2.8487613649570987e-6,12.39456077459144
Gm21887,X,1.9805363615327898,3.5023042831615947,14.465642962640809,1.4671081248538235e-9,2.8487613649570987e-6,12.08243114983517
Cxcr3,X,-1.6244233478571783,4.776731283528578,-13.9731974213455,2.2710943583391916e-9,3.800108635091052e-6,11.994624816426546
Slc15a2,16,-3.3928191324514376,3.009375003209968,-14.640168517008446,1.2606019182661116e-9,2.8487613649570987e-6,11.470489188030767
Eaf2,16,-1.8041072792752484,5.385754530873907,-13.13829709918026,4.918507090998848e-9,6.583913592011058e-6,11.24664702113568
Eps8l1,7,2.510311347282885,2.8958293710734178,13.418898568706096,3.775870533379248e-9,5.615978106646068e-6,10.853647549090983
Yipf4,17,-1.1096960156365112,5.708703534004951,-12.388337025427948,1.021934464290067e-8,1.2436013399078943e-5,10.49886591639686
Trp53inp1,4,-0.9541506141335461,6.664907325910139,-12.17324882753566,1.2692185955858011e-8,1.4158133433759612e-5,10.270104010206639
Slpi,2,-1.858620794582011,9.686012073207143,-11.87356297586376,1.7259840944618543e-8,1.6502873634618843e-5,9.983176396761973
Cdk5rap1,2,-1.541058461144233,3.646263197243944,-11.928399572342187,1.630791964399016e-8,1.6502873634618843e-5,9.980375899253778
Ide,19,-0.9427500707587626,5.347060406466517,-10.887422718937298,4.978390226394121e-8,4.442715438034113e-5,8.908983550813469
Ly6c2,15,-0.9487064441574873,7.89834657675812,-10.593436551857643,6.931473241250192e-8,5.799043800460942e-5,8.598175157061378
Mzb1,18,-1.478194345605428,8.355842956924924,-10.449763582210405,8.170326295970764e-8,6.433411046933214e-5,8.454240244451183
Pkig,2,-0.7990941608408502,6.670146914557748,-10.400120392690518,8.651613468342861e-8,6.433916549290975e-5,8.307957539823052
Sdc1,12,-1.1803674642183388,4.691017152569206,-9.739176088497137,1.89364693200482e-7,1.2884725480634288e-4,7.603805775392609
Hid1,11,-1.1943128271612866,3.8473146656168553,-9.647586426015993,2.117615124562635e-7,1.2884725480634288e-4,7.54002339008704
Derl3,10,-1.145140064815621,5.4091850875898855,-9.704620787932628,1.975031444422051e-7,1.2884725480634288e-4,7.503020967620445
Creld2,15,-1.0647195728858243,6.727181158083692,-9.684459682654552,2.0242287706686742e-7,1.2884725480634288e-4,7.442232272583164
Abcc3,11,0.7985539165094266,5.18695817947152,9.44621672343135,2.715422706170286e-7,1.5803760149911064e-4,7.186576385599746
Tbx21,11,-1.2098867810629752,3.654681182417231,-9.152553058973094,3.9308606052187096e-7,2.104740002458306e-4,6.934527131844373
Hist3h2ba,11,-1.4512450959886158,3.914966756866563,-8.991061211570575,4.835904210884822e-7,2.48974668334247e-4,6.724104934430084
Rexo2,9,-0.7981697063642113,7.141159124314685,-8.862336420060501,5.715647217348051e-7,2.8336908759785557e-4,6.389021571632686
Ubb,11,-1.4096477953071744,10.01159400827924,-8.608466446793242,7.989160476602104e-7,3.819389362135563e-4,6.226918808579583
Mocs1,17,-0.8210821358402498,4.679415793196391,-8.504452536670769,9.182884269105096e-7,4.097402960874694e-4,5.994291742286492
Ift20,11,-0.731854411280545,6.643955081268644,-8.528462400049802,8.891441639779078e-7,4.097402960874694e-4,5.904889461501189
Plxdc1,11,1.2176226134470345,3.074006172434908,8.295860783107925,1.2185966567448003e-6,4.943071165813908e-4,5.828732668876619
Xbp1,11,-1.041732822727269,7.663657660190565,-8.41903492339632,1.0304780872422554e-6,4.4496708631693e-4,5.827992435719133
Myh9,15,0.7094739516779898,6.8204549288161775,8.394851695060224,1.0648211778266476e-6,4.4542800894960955e-4,5.723166133981241
