symbol,chromosome_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
Gm8797,3,5.386861502614047,5.424979136200274,36.22114208009946,1.11182217238289e-16,1.4501496594390034e-12,24.235959663718255
Irgm2,11,1.616938789397321,5.800064063574955,17.341932118212736,9.824036160635869e-12,6.406745182158682e-8,17.21381867119026
Gm49980,18,-1.41578525875335,5.278742752549521,-14.858249410117535,9.970658990115033e-11,3.6453816657944817e-7,14.951739410043212
Nacad,11,3.0631314699582335,3.698221108375772,14.640422660123146,1.241494227194251e-10,3.6453816657944817e-7,14.181427723199327
Slc15a2,16,-3.3297862673401837,3.001580737732883,-14.524020895340623,1.3974475449645335e-10,3.6453816657944817e-7,13.290132187822586
Gm21887,X,2.074098643602967,3.4430440630748653,13.523333898124871,4.0034453410993285e-10,8.702822930659757e-7,13.219266213228643
Slpi,2,-1.8858623980899694,9.162783130741158,-12.789297388925764,9.045013699571001e-10,1.6853444811929222e-6,12.731944613890175
Cxcr3,X,-1.4587954949649848,4.619892301801959,-12.356830474853595,1.489318459267853e-9,2.3773705885172084e-6,12.294758460194396
Fkbp11,15,-1.7486873792271744,4.1633263557158635,-12.274429684490897,1.6404458557582515e-9,2.3773705885172084e-6,12.153672387024999
Yipf4,17,-1.1463409886437343,5.721485569501127,-11.861496890654417,2.68439294311426e-9,3.5012537157039294e-6,11.70067717574905
Eaf2,16,-1.8728605434747019,4.846864649657657,-11.08267105460421,7.065373984984931e-9,7.679472740513204e-6,10.764900583928728
Eps8l1,7,2.5647544240635423,2.877679006818367,11.289537411094402,5.4358107609886675e-9,6.445389068688654e-6,10.561892212098396
Cdk5rap1,2,-1.528157470894949,3.608719416349225,-10.658246707704155,1.224816490791179e-8,1.2288678068761036e-5,10.172531463699386
Ide,19,-0.9396005260573759,5.3011510525345145,-10.146862077642158,2.4315296061874782e-8,2.2653171895359483e-5,9.4993628552053
Hist3h2ba,11,-1.5333406303006862,3.894463172814975,-9.40105979189466,6.933381880253155e-8,5.652006241508869e-5,8.52313933732706
Mzb1,18,-1.3957857975144226,7.91330670874248,-9.414120672373798,6.803835682205344e-8,5.652006241508869e-5,8.492385272452797
Creld2,15,-0.8778330850294163,6.317305358628696,-8.948516990902615,1.3485664522317596e-7,9.972984570273544e-5,7.717526467479398
Pkig,2,-0.7695168701222483,6.624037134676435,-8.934904016101493,1.3763223358500637e-7,9.972984570273544e-5,7.6979540876078705
Trp53inp1,4,-0.7666359595710732,6.336027904010431,-8.866462959747883,1.52526361066325e-7,1.047053330204251e-4,7.589555802323963
Mocs1,17,-0.9216198856294788,4.671334190492724,-8.745259007538143,1.8321208652620668e-7,1.1948176222806568e-4,7.502360310906669
Ly6c2,15,-0.8952728481483465,7.5620800282460925,-8.6189388056863,2.2218993485205983e-7,1.3800111048930554e-4,7.264627909254772
Tbx21,11,-1.2075762054091146,3.6555325384971065,-8.464500428729629,2.8201157104367424e-7,1.671944055055747e-4,7.1512723699891705
Sdc1,12,-1.1779336025503135,4.234078720215539,-8.37253498881092,3.2547699251709913e-7,1.7766108821652322e-4,6.97254084020734
Ubb,11,-1.435900751264084,10.016928724028265,-8.295769558925986,3.671372465959114e-7,1.915428442940189e-4,6.89057548161467
Tspo2,17,-1.0116947386199886,6.953891644409586,-8.369730042429055,3.269083889593312e-7,1.7766108821652322e-4,6.833509067277323
Derl3,10,-1.1247065004770596,4.874483156690715,-8.249037663395404,3.9520825101327704e-7,1.9825773915254507e-4,6.711705688202765
Abcc3,11,0.7369512739253805,5.203561367937956,7.952145411241317,6.351456739382567e-7,3.0682240833987715e-4,6.186684810366408
H1f0,15,-0.9432701581290521,5.068253410108206,-7.764562452893513,8.621036279740475e-7,3.81478896983077e-4,5.899763476873728
Rps27rt,9,0.7980622737052077,6.47074907732166,7.753824604109059,8.774336356277167e-7,3.81478896983077e-4,5.799132898602016
Txndc11,16,-0.7890674898655394,5.874644582764142,-7.599131685863303,1.1329552161442761e-6,4.766817704570901e-4,5.545879853351588
Hid1,11,-1.110204882690026,3.3633632081291944,-7.374299129890313,1.651833203967296e-6,6.336723670395719e-4,5.427129223241407
Rexo2,9,-0.6992691578360031,6.965689142297368,-7.4863815609147215,1.367637178940175e-6,5.57440366403647e-4,5.364465013321643
Plxdc1,11,1.1709791247314163,3.057986052530951,7.303538287075086,1.8625371155986602e-6,6.748075444098146e-4,5.320765040883393
Myh9,15,0.7003231433852486,6.797634678338258,7.455574941917441,1.4402436213001342e-6,5.69245380382353e-4,5.300047263178563
Zfp672,11,-0.80535105737341794,4.573027809386135,-7.207873791436495,2.1930817215152077e-6,7.527464445716541e-4,5.001456905849894
Xbp1,11,-0.9547750998922222,7.291560847088842,-7.2321969130009025,2.1036092361990296e-6,7.415506829119984e-4,4.952649322578121
Marco,1,0.8732244336234034,5.287761518867858,7.159225511861294,2.384181209424615e-6,7.973557824237245e-4,4.83492455424714
Ift20,11,-0.6582367593298706,6.5236807379699,-7.1208299355876905,2.5472658791113875e-6,8.305997215312457e-4,4.70773624493447
Ikbkb,8,0.7554442023132442,6.954942733834784,6.985715957110675,3.220177302907161e-6,0.0010244090868736123,4.487374036039245
Grip2,6,0.9906712618427247,3.70140137150415,6.826318138280901,4.259564365588166e-6,0.001322797571913487,4.454196687679685
Gm46224,10,1.2018350084845695,2.686767943879853,6.550134238719219,6.97309231761191e-6,0.001961538352325087,4.0515468457358335
Ehd3,17,0.8498396953161547,3.7876999884823817,6.5626042714338215,6.818086872844881e-6,0.001961538352325087,3.9697368025824202
Zbtb32,7,-1.4572269204017512,2.2263752126456353,-6.455290674978122,8.279085578763436e-6,0.00215968226407623,3.868697733291423
Il4i1,7,0.7811991179948548,5.77064561087745,6.629124489669349,6.049782946535219e-6,0.0018350539295734617,3.8348449520810206
Tpst1,5,-0.668611258461806,4.78034266676157,-6.542614481686947,7.068335701853799e-6,0.001961538352325087,3.7848981365330925
Gm16793,8,-1.2426795778108124,2.7416818076000635,-6.335888976383746,1.0294535086557492e-5,0.0025334268138484787,3.675688207716913
Cdkn1a,17,0.7958093831189479,4.072736470704223,6.392307572299326,9.285169750479102e-6,0.0023746366481470376,3.6163763417363315
Edem1,6,-0.7468157280008239,6.7021275960126205,-6.464111622678161,8.14752265287961e-6,0.00215968226407623,3.5254789635787374
Serinc3,2,-0.7997922641586275,9.437494938153353,-6.28694788771821,1.126256440523759e-5,0.002691612641553329,3.4542401185112057
Cacna1s,1,-0.936949811109197,3.3051861313924684,-6.224065546085702,1.264722248988812e-5,0.002893995139221241,3.4242248514243574
Creb3l2,6,-0.7407726611028753,4.260414530399141,-6.2827424787864565,1.1350049473697239e-5,0.002691612641553329,3.386071903163044
Eno1,4,-0.5420478176348338,6.061614685298704,-6.338025100675522,1.0254309593207453e-5,0.0025334268138484787,3.2845291349261547
Pafah1b3,7,-0.869610878253166,4.924007722815888,-6.257171486835333,1.1897445480044498e-5,0.002771042524932507,3.241563052411813
Bhlhe41,6,-1.3688123177608134,2.7235544291112714,-6.013575582957687,1.8718358812683578e-5,0.004069059233230532,3.0997827674508853
Manf,9,-0.618180228484281,7.303851620629536,-6.1950450005566005,1.3344885293346614e-5,0.003000988601398619,3.0625541803819294
Gm49975,18,-4.746829448261994,-2.2223645210965053,-7.7674062972641105,8.580907768278825e-7,3.81478896983077e-4,2.954885167575383
Uba52,8,0.6738601960885218,8.053961400419468,6.0798651467933915,1.653335706994932e-5,0.0036549928180228644,2.930418161536786
Aph1b,9,1.311907485008276,2.1824542580801904,5.89645271280974,2.3342335504147892e-5,0.004551108098194847,2.8991548360442634
Cacna1h,17,-0.8869383896644321,3.5065755810689803,-5.92784451542571,2.199723474618695e-5,0.004413998966069483,2.8472306302143107
Neil1,9,-0.9313387164736668,3.867565402899016,-5.948011045410576,2.1175786462359358e-5,0.0043840600448976684,2.8298863515591233
Ccl22,8,1.7568155237255592,1.3917701421385185,5.8956374970697745,2.3378382471751497e-5,0.004551108098194847,2.779575635060546
Cenpv,11,-0.7141038159261379,4.539785666383132,-5.967712492526903,2.040399639270418e-5,0.004319989599617085,2.7445630573767223
BC030867,11,-0.9893519791396579,3.207032948951063,-5.825062445074205,2.6728716097909667e-5,0.004980323486643368,2.6991782393661925
Fmr1nb,X,4.989030743123028,-2.1344209684471274,7.320603752838207,1.8092729362808512e-6,6.742384830831754e-4,2.6509730723368685
Ugt8a,3,-3.735978374204568,0.15880723939132824,-6.5510000530473045,6.962212313172293e-6,0.001961538352325087,2.6171728342371283
Snhg9,17,0.7935218871740313,5.501612642961759,5.964311741520535,2.0535103517308843e-5,0.004319989599617085,2.609391779402671
Cd160,3,0.6929173256658747,4.007333227711784,5.842626164366395,2.5850921070434883e-5,0.004886573384372206,2.592844782470128
Dnase1l3,14,0.5781390237194932,7.018432430528563,5.927938457856608,2.1993332433388452e-5,0.004413998966069483,2.525001824327666
Prg2,2,-0.8308563427488553,3.3903999542604164,-5.727101306198217,3.222487334071433e-5,0.00560412030643916,2.483861726095588
Sec11c,18,-0.5859343182449015,7.565501631494827,-5.876037767286482,2.4262648972177354e-5,0.00465379015506043,2.481803291293856
Lyz1,10,1.1309934267019712,2.376098806093624,5.635926813661399,3.8395002600340666e-5,0.006193867272855824,2.424500891845881
Sirpb1b,3,-4.06147469282474,0.056464786974748105,-6.498706068048984,7.65220880179097e-6,0.0020793283208699925,2.376701204069466
