symbol,chromosome_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
Gm42418,NA,-1.919426738428653,10.805162092254278,-17.591764290430223,7.676358090884373e-18,6.943265893204916e-14,30.291163189237594
Ubb,11,-1.3878225775825275,10.004599429321447,-12.410040403531735,1.1585410528029954e-13,5.239501911301547e-10,21.11824369089626
Slpi,2,-1.828353995084747,9.652113452436014,-11.990173937180538,2.8488571434232616e-13,8.589304287421134e-10,20.233929963348196
Lars2,9,-1.6094980272123438,6.625173915433543,-8.802964881315495,5.378038418360303e-10,9.72887149881379e-7,12.77179189546979
Gm49980,18,-1.7960847054826,5.848560333998755,-8.395859910956135,1.549490390554184e-9,2.335856763760432e-6,11.594675628140788
Gm8797,3,5.303911340281687,5.954263907815824,10.329184786696123,1.2343008766789144e-11,2.791062857390195e-8,10.8080119961352
Xbp1,11,-1.2365456442101168,7.933322900015121,-7.64223516805715,1.1611152429821077e-8,1.5003267675390234e-5,9.894760330739008
Uba52,8,0.8753603437766468,8.74903590341389,6.912596691883513,8.692089364936179e-8,9.827493538230968e-5,7.8987514070539895
Pkig,2,-1.117265797068975,6.945856105673389,-6.856667761234657,1.016568990918551e-7,1.0216518358731437e-4,7.807828842496146
Ikbkb,8,0.9830555153292924,8.804491352122254,6.603574934237396,2.0725197002527505e-7,1.8745940688786128e-4,7.044255239302225
Cxcr3,X,-1.0838827906220256,6.556049128438902,-6.255370298737386,5.571267819810964e-7,4.481482294090285e-4,6.180396160594036
Mzb1,18,-1.0697810182768297,8.861677958626055,-6.232584129700145,5.945581816371854e-7,4.481482294090285e-4,6.011183354157058
Hba-a1,11,-0.6405939115170032,13.208844894674225,-5.812028844493323,1.985439218562335e-6,0.0013814075178381782,4.710684180547638
Eaf2,16,-1.45871585833929,5.740881191747457,-5.694853586761762,2.7824319174419876e-6,0.0017820859715353093,4.652600855562444
Creld2,15,-0.9849794462341359,7.148896851566402,-5.673936293316778,2.955366453624062e-6,0.0017820859715353093,4.5415200070540145
H1f0,15,-1.1658441895322378,5.8202575956275,-5.58835389168652,3.782803603233288e-6,0.0021384661619528182,4.367438469141808
Ide,19,-1.1471538237951897,6.071175635743826,-5.537839603290046,4.376514774033767e-6,0.002328563301831495,4.228987911644554
Zbtb8os,4,-1.0672264565490188,6.109831182787108,-5.483088900082745,5.126010565742813e-6,0.002362149164896802,4.078822255095484
Rps27rt,9,0.8118698943113429,7.529213029219168,5.480246699345016,5.168255083475135e-6,0.002362149164896802,3.9881585077919297
Gadd45g,13,-1.4563355943951999,5.06340973473392,-5.4036723644151134,6.447570122164385e-6,0.00265083053431713,3.8030409538245165
Rpl21,5,-0.602183057356573,12.028516965381732,-5.459696397281889,5.484260084337517e-6,0.002362149164896802,3.7275790336627628
Bhlhe41,6,-1.9738607399065957,4.251753815509734,-5.473382852862145,5.271718655343392e-6,0.002362149164896802,3.695454836964867
Tspo2,17,-1.4826829125675873,4.920278297936055,-5.3078123459235655,8.50498483448853e-6,0.003344677731649946,3.538763466427307
Top1,2,-0.907462954628592,6.577893665701167,-5.215667326694809,1.109930393241753e-5,0.003855087672622758,3.314877809065578
Tbx21,11,-1.6175523183246345,4.703502720489773,-5.246285271816898,1.0159635469685608e-5,0.003675756112932253,3.301549142448236
Ftl1,7,-0.6307080582404794,11.063503270064555,-5.276930655275784,9.298745609147506e-6,0.0035044647514474664,3.23101926131028
Manf,9,-0.7542927304389195,7.911778501195355,-5.112957395842288,1.4932829334942643e-5,0.004502248044485207,2.9101893387976903
Hsp90b1,10,-0.7105086050979299,9.301794384154295,-5.139646805060454,1.3825052022892752e-5,0.004311986053347067,2.9037005662190056
Actb,5,0.539317734293693,12.579285804731386,5.153576904825292,1.3279845950066805e-5,0.00428986452208408,2.8480877121927435
Rbm38,2,0.8057318464494623,7.145088104669602,5.033562282751375,1.8779718131646323e-5,0.005147350015173969,2.77654369464224
Rpl35,2,-0.5729475847496577,9.88171948896692,-5.047719880309819,1.8027789097170177e-5,0.005095667261997007,2.6191445363771626
Eps8l1,7,2.1915513972510756,4.666721511962048,5.086810086988763,1.6103947202948727e-5,0.0046987162080861684,2.4376136126890042
Myh9,15,0.6694704071360063,7.868533147576521,4.909094992979042,2.6890541224087626e-5,0.006949284153482074,2.354340901362921
Mef2b,8,-1.82884768223398,4.190213668692385,-4.91658894079467,2.6315942564751636e-5,0.006949284153482074,2.3353245515947796
Gm21887,X,1.9316104113019401,4.747654292770723,4.855522837634598,3.137835377194734e-5,0.007698723685338562,2.151504307561467
Serinc3,2,-0.5858693134962891,9.242478431590948,-4.852287869640461,3.167204470299665e-5,0.007698723685338562,2.0965294869958306
Jchain,5,-0.691950935740401,10.717481102501985,-4.844997172353117,3.234400221590551e-5,0.007698723685338562,2.0197417184033855
Rnps1,17,-0.6912979915169757,7.522287070856372,-4.778027145814364,3.921872276009744e-5,0.009091224335327839,2.0072575204186762
Rexo2,9,-0.714838551592627,7.293038303182696,-4.760808064991684,4.120952987821353e-5,0.009091224335327839,1.9823122649984146
Tma7,9,-0.6102510101009191,8.58702084952033,-4.761737755350369,4.109952368469634e-5,0.009091224335327839,1.880401664908085
Hmgn2,4,-0.6991860030875543,7.084301261443681,-4.637869596213345,5.865507594961145e-5,0.012631789570577036,1.6643520849471454
Cd7,11,0.806772899565841,6.622075990781748,4.599150822070035,6.553864063002038e-5,0.013785976848803125,1.6309034556459903
Metap1d,2,1.1565955066200742,5.688995984180764,4.4870725378841225,9.030407456539025e-5,0.0177565294444338,1.4189454637011236
Pld4,12,-0.6199236704422768,7.777596735976371,-4.566380702149714,7.198578666711511e-5,0.014797987281910367,1.3959996212977792
Selenop,15,0.6612445005493113,7.6624041409766965,4.5228698756751955,8.152560759297148e-5,0.016386647126187266,1.3036473493957974
Slc15a2,16,-3.65374509436542,3.7663692189042384,-5.2031591973243225,1.150772439588883e-5,0.003855087672622758,1.2853517543749264
Qpctl,7,-1.7287578459601955,3.9589604285998417,-4.4654547916503455,9.605146718608796e-5,0.018484798312726928,1.1871886690760265
Nuggc,14,-2.0691068002470874,3.575602378579573,-4.426740980568221,1.0726169402945161e-4,0.020141027573336634,0.8390981925914156
Pou2af1,9,-0.5880678658366447,7.921394950802513,-4.359104703959089,1.300303925708819e-4,0.023522498016072535,0.8132818971437903
Rpl13,8,-0.47998321303684754,11.949656589683357,-4.420740873858451,1.0911114992741791e-4,0.020141027573336634,0.7992297167745646
Acd,8,-0.8461787740782674,6.17525633955322,-4.263777790621629,1.704129574035588e-4,0.02940596493752719,0.7607189117888256
Snrpd1,18,-0.5828678209067979,7.9798900642898065,-4.339962066997139,1.3729905012885562e-4,0.024350390361088214,0.7562492615368033
Prdx4,X,-0.8939407918300422,6.353341344639341,-4.259874080599293,1.7230692555986082e-4,0.02940596493752719,0.728428099060368
Snhg9,17,0.8100359554789076,6.451438170667168,4.250016058428871,1.771825085288262e-4,0.02967807017857839,0.7096974822994042
Chchd10,10,-0.7106202590565562,6.582448137530737,-4.194587708526827,2.072325462828936e-4,0.033876080403304275,0.5226077755754241
Ggct,6,-0.9404051747486273,5.383137170447518,-4.12541453945277,2.518362979170648e-4,0.03742220530511045,0.4727246442865809
Zcrb1,15,-0.7225216624416166,6.429257521752355,-4.124651460751896,2.52377503992453e-4,0.03742220530511045,0.3572688059077178
Cd22,7,-0.5345200153131842,8.691970998992844,-4.190333638336459,2.0973582118132e-4,0.033876080403304275,0.2930738564303823
Gpbp1l1,4,0.946340215399343,5.528868900991348,4.047146417253967,3.1372691998976233e-4,0.04299484835314243,0.27631397468361385
Fen1,19,-0.8002475231097579,5.952458728479387,-4.0683721800377866,2.9560392063631455e-4,0.041134422494699466,0.26971041383302463
Adam33,2,-2.264173965992459,3.2634633781250475,-4.179587301307493,2.1619260779088832e-4,0.034306353288922536,0.19748096140346316
Gemin7,7,-0.7823319461879805,5.996598423272712,-4.036552841942638,3.2317503333725026e-4,0.04362862950052879,0.1808238928246002
Thy1,9,0.5316283977977552,8.31019771342736,4.1314115064738965,2.4762249752109975e-4,0.03742220530511045,0.16150405736332019
Rpn1,6,-0.6658715524326828,7.385644291938787,-4.085531460167317,2.817070532925057e-4,0.0398131296411049,0.12601359612839325
Rps28,17,0.48785828960975586,10.585696926672298,4.1464754534708295,2.3734080313655772e-4,0.0370128890408649,0.08630617613762759
Glul,1,0.7349139886398834,6.342362502190252,3.9966620381928544,3.6131992549593567e-4,0.047052416454558585,0.04700407368340276
Gcsam,16,-1.8510542214838357,3.6291062096670137,-3.9938763919258133,3.6414252645871763e-4,0.047052416454558585,0.01079922484602136
Gapdh,6,-0.4776683221618825,9.894136048584675,-4.086500728417875,2.809414876362766e-4,0.0398131296411049,-0.052447042653096965
Rps29,12,0.4796863847537196,11.187634139786352,4.103294287000578,2.67996844925674e-4,0.039097281650850343,-0.05260659616305219
Edem1,6,-0.5965687930384123,7.526153822362746,-4.004824085279909,3.5317238051270285e-4,0.0469771203196676,-0.1066687349042521
