symbol,chromosome_name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Overlap_Ly_et_al
Gm42418,NA,-1.9402506206715149,10.799711384782597,-16.93037058164114,2.504529652097449e-29,2.2498189864791386e-25,55.88279942321316,FALSE
Slpi,2,-1.8587252015128417,9.628621932288084,-13.919323271235484,6.880265954832938e-24,3.090271453613214e-20,43.68221112070526,FALSE
Ubb,11,-1.402525500205277,9.999174663732013,-11.919472016555472,5.17081989762372e-20,1.548315838011796e-16,35.025005752336625,FALSE
Lars2,9,-1.57392268183159,6.678260238772559,-8.806094648916913,1.0858088763955323e-13,1.9507642273322132e-10,20.671667570609582,FALSE
Xbp1,11,-1.2843368158126864,7.905173836558465,-8.62432234969989,2.561020683444839e-13,3.8342747998974987e-10,19.956116972136922,FALSE
Gm8797,3,5.238632476519306,5.933635279301745,9.795326827790218,1.0153587956740471e-15,2.2802420153849914e-12,19.022533237367114,FALSE
Gm49980,18,-1.7281575973413679,5.874270654473559,-8.069207641843619,3.4917611863837435e-12,4.4809272481835954e-9,17.193903918970513,FALSE
Mzb1,18,-1.099668626100506,8.856382067638476,-7.501976783027333,4.9300228247375105e-11,5.535799379327132e-8,14.834162888212287,FALSE
Ikbkb,8,0.9881683592694905,8.794129386826897,7.297729880990228,1.268552690360686e-10,1.2661565352788937e-7,13.911325570315444,FALSE
Pkig,2,-1.1811932436365726,6.931539990944684,-7.1820268561433105,2.161662953782684e-10,1.941821831382985e-7,13.42975504694041,TRUE
Uba52,8,0.8916407401395148,8.759563968369456,6.960879087633442,5.954741137058933e-10,4.862858148563673e-7,12.406849182052044,FALSE
Eaf2,16,-1.5992066206653943,5.69105290658688,-6.745506164202506,1.5852803729984244e-9,1.1867144658870706e-6,11.430155651711043,FALSE
Creld2,15,-1.0478370380590913,7.109013868264373,-6.381708103352039,8.122523207093288e-9,5.612663536101462e-6,9.94180477962272,FALSE
Ide,19,-1.2632763800090796,6.042698353076942,-6.156490644300553,2.2012352172390483e-8,1.3331151605122246e-5,8.996852453257988,FALSE
Cxcr3,X,-1.0861180822189613,6.580640929977162,-6.153941099628535,2.22606338725185e-8,1.3331151605122246e-5,8.993693937572568,TRUE
Hba-a1,11,-0.6596264624401122,13.199447232960921,-5.894203451203544,6.91742747151427e-8,3.883703186038293e-5,7.69588259532207,FALSE
Bhlhe41,6,-2.230185331901408,4.216102613881331,-5.846454571970651,8.50354872433584e-8,4.493375187688756e-5,7.115215668713875,FALSE
Jchain,5,-0.7163673485324775,10.711060890221859,-5.650771734418952,1.9679117005529297e-7,9.820972670037205e-5,6.7207577907681255,FALSE
Hsp90b1,10,-0.729457927745182,9.291206614297733,-5.637906153409283,2.0786823287975376e-7,9.827791241888569e-5,6.710264553462315,FALSE
Zbtb8os,4,-1.1164893845458161,6.097121308079957,-5.569841715573437,2.774806279834813e-7,1.1869564196074345e-4,6.61028877769775,FALSE
Tspo2,17,-1.6338335395742707,4.868930430794666,-5.601540892705004,2.425991503701378e-7,1.0896340838874737e-4,6.5893490106744625,FALSE
H1f0,15,-1.1762794966372594,5.794736106233479,-5.482009925322069,4.0193465054382954e-7,1.5698169416674873e-4,6.262062704781231,FALSE
Ftl1,7,-0.6502435694275057,11.059140729128108,-5.513925700985293,3.514039257276325e-7,1.434846120368783e-4,6.151231917093648,FALSE
